Term,Year,Internship Site,Title (if applicable),Location,Latitude,Longitude,Notes (if any),Notes on Location
Summer,2015,De La Torre Laboratory,Undergraduate student researcher,"San Francisco, Maine",,,,San Francisco in CA?
Summer,1993,Darthia Farm,Intern,"Gouldsboro, Maine",44.478412,-68.0383389,,
Spring,2002,Darthia Farm,Intern,"Gouldsboro, Maine",44.478412,-68.0383389,,
Summer,1984,Darthia Farm,Intern,"Gouldsboro, Maine",44.478412,-68.0383389,,
Summer,2000,Dancing Rabbit sustainable Community,Intern,"Rutledge, Missouri",40.3136488,-92.0882345,,
Summer,2000,Dancing Rabbit Eco Village,General Intern ,,,,,
Summer,1998,Daisy Greenhouse,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1981,D.C Mediation Service,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Fall,1997,Curbstone Press,Intern,"Willimantic, Connecticut",41.713125,-72.217885,,
Fall,1986,Cultural Survival Inc.,Intern,"Cambridge, Massachussets",42.3655767,-71.1040018,,
Summer,1993,Cultural Survival,Intern,"Cambridge, Massachusetts",,,,
Winter,1994,Cultural Survival,Intern,"Cambridge, Massachusetts",,,,
Spring,2020,Cultural Centre: Don Bosco,Mentor,"La Paz, Bolivia",,,,
Summer,2019,Cultivating Community,Food Acces Intern,"Portland, Maine",,,,
Summer,1994,CSL Concert Sound and Lighting,Intern,"Bedford, Massachusetts",42.4917301,-71.2817947,,
Summer,2005,Croft 13,Intern,"Isle of Colonsay, Scotland",56.0703083,-6.188052,,
Fall,2008,Crittenton Women's Union,Institutional Advancement Intern,"Boston, Massachusetts",,,,
,,Criterion Theater,Assistant Projectonist,"Bar Harbor, Maine",44.3876378,-68.2043361,Physical files incuded newspaper articles,
Summer,1994,Crescent Beach Community Services,Mental Health Counselor,"Crescent Beach, British Columbia, Canada",,,,
Fall,2015,Creative Loafing,Design Intern,Atlanta,,,,
Summer,1979,Crazing Firlds Nature Program,Co-director,"Springfield, Missouri",37.2081729,-93.2922715,,
Summer,1982,Crane Creek State Park,Intern,"Oak Harbor, Ohio",41.512773,-83.146578,,
"Fall, Winter","1977, 1978",Cranberry School,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2006,CPHP (The Peace House Project),Intern,"Chiapas, Mexico",16.5000001,-92.5000001,,
Summer,2007,Coyote Tracks Summer Program at The Children of the Earth Foundation,Intern,"Bridgeton, New Jersey",,,,
Fall,2006,Cornerstone Foundation,Intern,"San Ignacio, Belize",,,,
Fall,2005,Cornell University,Research Assistant,"Ithaca, New York",42.4374175,-76.5483724,,
Summer,1994,Cornell University,Research Assistant,"Ithaca, New York",42.4374175,-76.5483724,,
Summer,2016,Coplon Associates; Landscape Architecture and Planning ,Intern,"Bar Harbor, Maine ",,,,
Summer,2013,CooperRiis Healing Community,Suppport Staft Member,"Mill Springs, North Carolina",,,,
Summer,1982,Coolidge Center for the Advancement of Agriculture,Farmer Apprentice,"Topsfield, Massachusetts",42.6390841,-70.9507469,,
Summer,1987-1993,Cool as a Moose,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1994,Consolidated Entrophy Inc.,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Winter,2001,Conservation International,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Winter,2018,Consejo de Curso,Intern,"Santiago, Chile",-33.4377756,-70.6504502,,
Summer,2021,Consejeria de Juventud,Audiovisual/Social Media,"Ceuta, Spain",,,,
Winter ,1992,Connors-Emerson School,Student Teacher,"Bar Harbor, Maine ",,,,
Spring,1990,Connors-Emerson Elementary School,Student Teacher,"Bar Harbor, Maine",44.3876378,-68.2043361,Included personal notes and newspapers,
Fall,2008,Connors-Emerson Elementary School,Student Teacher,"Bar Harbor, Maine",,,,
Fall,2019,Conners Emerson,Student Teacher,Not listed,,,,
Summer,1989,Congress of the United States,Intern,"Washington, D.C.",38.8950368,-77.0365427,"Hand written note on the last page saying ""P.S. Steve is still a weenie!""",
Summer,1995,Confidence Learning Center,Intern,"Brainerd, Minnesota",46.3580221,-94.2008288,"Not scanned: Newspaper, photos glued onto paper",
Summer,2015,Concord Feminist Health Center,Feminist Health Intern,"Concord, New Hampshire",43.207178,-71.537476,,
NA,NA,Community Service Requirement,NA,NA,,,,
NA,NA,Community Service Requirement,NA,NA,,,,
NA,2006,Community Service Degree Requirement,NA ,NA,,,,
Summer,2016,Community Harvest Project,Sustainable Farming Intern,"North Grafton, Massachusetts",42.2334275,-71.7078467,,
Summer,2006,Common Ground,Food Systems Coordinator,"New York, New York",40.741895,-73.989308,,
Fall,2012,Colorado State University,Research Assistant,"Fort Collins, Colorado",,,,
NA,NA,College of the Atlantic,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,Includes reasearch done at COA as internship,
Summer,1987,College of the Atlantic,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1986,College of the Atlantic,Landscape Designer,"Bar Harbor, Maine",44.3876378,-68.2043361,Included Watson Fellowship Proposal,
Winter,2005,College of the Atlantic,Project Manager,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1990,College of the Atlantic,Researcher,"Milbridge, Maine",44.5353533,-67.881173,,
Fall,2006,College of the Atlantic,Teaching Assistant,"Bar Harbor, Maine",,,,
Summer,1987,College of the Atlantic,Intern,"Bar Harbor, Maine",,,,
Summer,2019,College of the Atlantic,Student Researcher,"Great Duck Island, Maine",,,,
Spring,2013,College Confident,Intern,"Brooklin, Maine",44.266137,-68.5690623,,
Summer,2022,Colby College,Research Assistant,"Waterville, Maine",44.5520105,-69.6317121,,
"Winter, Spring",1998,CobCrew Co,Intern,"Austin, Texas",30.2711286,-97.7436995,,
Nine Months,1977,Coastal Resource Center Inc.,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,1975,Coastal Resource Center,Intern,"Bar Harbor, Maine",,,"Internships under name ""Jonathan Gormley"", same person. NOT SCANNED: Newspaper articles, Postcard to Jill",
Summer,1999,Coastal Mountains Land Trust,Intern,"Rockport, Maine",,,Not included: Coastal Mountains land Trust newspapers,
Summer,2005,Coastal Kayak Guides,Guide,"Bar Harbor, Maine",,,,
Winter-Summer,2018,Coastal Humane Society,Intern,"Brunswick, Maine",43.9166529,-69.9659438,,
Spring,2018,"Coastal Connections, Inc.",Intern,"Amesbury, Massachusetts",42.8579536,-70.9300921,,
Summer,1995,COA's Natural History Museum, Assistant program leader for the Summer Field Studies Program,"Bar Harbor, Maine",,,,
Spring,2020,COA Kitchen ,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1997,COA GIS Laboratory,Intern,"Bar Harbor, Maine",,,,
Fall,1982,COA  Addmissions,Intern,"Bar Harbor, Maine",,,Not scanned per RAIN january/ferbruary 1984,
Fall,2007,CNA Language School,English Teacher,Sao Paulo. Brazil,,,,
Winter,1980,Clymer Health Clinic,Physician Assitant,"Quakertown, Pennsylvania",40.4417682,-75.3415667,,
Summer,1977,Clivus Multrum,Intern,"Providence, Rhode Island",,,,
Summer,2017,"Cliff Island Corporation for Athletics, Conservation and Education",Intern,"Falmouth, Maine",43.729525,-70.241993,,
Summer,2009,Cleveland Metropark Zoo,Intern,"Cleveland, Ohio",41.4996574,-81.6936772,,
Winter,2011,Cleire Goats,Intern,"Cape Clear Island, Ireland",51.4369633,-9.4977054,,
Fall,1995,Clearwater,Intern,"Poughkeepsie, New York",,,,
December-December,2009-2010,Clean Water Action,Intern,"Providence, Rhode Island",41.8239891,-71.4128343,,
Summer,1975,Clam Resource Management Project,Intern,"Bar Harbor, Maine",,,,
Prior Fulfillment,2023,City Year/AmeriCorp,AmeriCorp Member,"San Jose, California",37.31441778,-121.8937019,,
Summer,1993,"City of Port Townsend, Washington Planning and Building Department",Intern,"Port Townsend, Washington",48.1179702,-122.769544,,
Summer,2008,City of Cupertino,GIS Intern,"Cupertino, California",37.32207603,-122.0335175,,
Spring,2022,Citizens Inc.,Accounting Specialist,Austin Texas,30.2711286,-97.7436995,,
Summer,1970,Citizens Coordinating Committee,Intern,"Dayota Beach, Florida ",,,,
Winter,2022,Cite Anoushka,Assistant to President of the Community,"Mille, Mauritius",-20.3172387,57.5239665,,
Winter,2022,Cite Anoushka,,"Forest-side, Mauritius",,,,
Summer,1994,Cispus Learning Center,Intern,"Randle, Washington",,,,
Summer,2017,Circus Center,Intern,"San Francisco, California",37.7792588,-122.4193286,,
Summer,2006,Cincinnati Zoo and Botanical Garden,Intern,"Cincinnati, Ohio",39.1014537,-84.5124602,,
Summer,1995,Cincinnati Park Board,Intern,"Cincinnati, Ohio",,,Physical file included Cincinnati parks ,
Summer,2015,Christopher Manszewski - WDMS Productions,Intern,"Bethany Beach, Delaware",,,,
Summer,2022,Christiane Denzel,Naturopath and Padagody Apprentice,"Liptingen, Germany",,,,
Winter-Spring,1981,"Christian Rehabilitation Center ""His Mansion""",Intern,"Hillsboro, New Hampshire ",,,,
Winter,1974,Christian Education Administrator,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Fall,1978,Childrens Center,Teaching Intern,"Ellsworth, Maine",44.5414036,-68.4243047,,
Fall,1999,Children's Studio School,Artist/Teacher,"Washington, D.C. ",,,,
Fall,2011,Children's Home Yayasan Penghibur,Intern ,Indonesia,,,,
Spring,2012,Chickadee Hill Flowers,Flower Gardener,"Mount Desert Island, Maine",44.3330869,-68.2407865,,
Summer,2016,Chickadee Hill Flowers,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Spring,2006,Chicago Botanic Garden,Intern,"Glencoe, Illinois, Cape Coast, Ghana",42.14890991,-87.78961189,,coordinates for Chicago Botanic Garden
Fall,2011,Chewonki's Outdoor Classroom,Intern and Apprentice,"Wiscasset, Maine",44.0025451,-69.6647403,,
Summer,1983,Chewonki Foundaution,Curriculum Assistant,"Wiscasset, Maine",43.99971154,-69.67744261,,
Summer,1991,Chewonki Foundaution,Cabin Counselor,"Wiscasset, Maine",,,,
Fall,2012,Chewonki Foundation,Intern,"Wiscasset, Maine",,,,
Summer,2019,Chestnut Hill,Cardener,"Orange, Massachusetts",,,,
Fall,1990,Chesapeake Wildlife Sanctuary,Intern,"Bowie, Maryland ",,,,
Winter-Spring,1999,Cetacean Research Unit,Intern,"Gloucester, Massachusetts",42.6159286,-70.6619888,,"cannot find GLOUSTER which was entered, coordinates for GLOUCESTER"
Summer,1976,Cetacea of Glacier Bay National Monument With Emphasis on Megaptera ,Independent Researcher,"Auke Bay, Alaska",,,,
Spring,2016,Centro de Investigaciones Regionales de Mesoamerica (CIRMA),Archivist Intern,"Sacatepéquez, Guatemala",14.5531759,-90.7547018,,
Summer,2013,Centro de Analisis y Defusion de la Economia Paraguaya,Research Assistant,"Asuncion, Paraguay",-25.2800459,-57.6343814,,
Winter,2014,Centre for Research and Advanced Studies (CINVESTAN),Research Assistant,"Yucatán, Mexico",20.6845957,-88.8755669,,
"Fall, Winter, Spring","1984, 1985",Center Stage,First hand in Costume Shop,"Baltimore, Maryland",39.2908816,-76.610759,,
Summer,2021,Center of Island Research,Resident Artist and Research Assistant,"Bar Harbor, Maine",,,,
Summer ,1999,Center for Wildlife,Intern,"Cape Neddick, Maine",43.2098406,-70.6296409,,
Fall,2015,Center for Wildlife,Wildlife Care Intern,"Cape Neddick, Maine",43.2098406,-70.6296409,,
Summer,1991,Center for the Restoration of Waters at Ocean Arks International,Intern,"Falmouth, Maine",,,,
Summer,2007,Center for Summer Learning,Intern,"Baltimore, Maryland",,,,
Spring,2006,Center for Sex and Culture ,Intern,"San Francisco, California",,,,
Summer,2006,Center for Non-Proliferation Studies,Research Assistant,"Montery, California",36.598828,-121.898004,,
Summer,2022,Center for Maine Contemporary Art,Intern,"Rockland, Maine",44.104831,-69.1092025,,
Summer,2006,Center for International Environmental Law,Development Director's Assistant,Washington D.C.,,,,
Summer ,2002,Center for Environmental Structure,Web Design/ Construction Intern,"Berkeley, California",37.8708393,-122.272863,,
Spring,2010,Center for Environmental Farming Systems ,Sustainable Agriculture Intern,"Goldsboro, North Carolina ",,,,
Fall,1998,Center for Enviromental Citizenship,Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Summer,2011,Center for Digital Discourse and Culture,Intern,"Blacksburg, Virginia",37.2296566,-80.4136767,,
Spring,1982,Center for Collaborative,Intern ,"San Francisco, California",    ,,,
Spring,2020,Catskill Mountainkeeper,Intern,"Livingston Manor, New York",,,,
Spring,2019,Catholic Charities Refugees,intern ,"Portland, Maine",,,,
Summer,1998,Cascade Timber Consulting,Intern,"Sweet Home, Oregon",,,,
Summer,2017,Casa Marianella ,Shelter Support Services Intern,"East Austin, Texas",,,,
Winter,2015,Casa Esperanza Montessori,Theather Intern,"Raleigh, North Carolina",,,,
Spring,1996,Casa de Nacimiento in El Paso,Intern,"El Paso, Texas",31.7550511,-106.488234,,
Summer,2010,Carroll County Restorative Justice Center,Intern,"Tamworth, New Hampshire",43.860277,-71.263504,,
Summer,2019,Carrier Roasting Co.,Intern,"Northfield, Vermont",44.1486362,-72.6569682,,
Summer,2013,Carriages of Acadia,Intern ,Maine,,,,
Summer-Winter,1982,Carpentry Business,Carpenters Apprentice,"Hancock, New Hampshire",42.9728594,-71.9798028,,
NA,"1997, 1998",Care Development,Childcare Intern,"Bangor, Maine",44.8016255,-68.7713289,,
Summer,1987,"Care and Rehabilitation of Wildlife, Inc.",Intern,"Sanibel, Florida",,,Not Scanned: Lifeline for Wildlife June 85' and March 87',
Spring,1989,Cape May Bird Observatory,Hawkwatcher,"Sandy Hook, New Jersey",,,,
Summer,2005,Cape Cod Commercial Hook Fishermen's Association,Intern,"Cape Cod, Massachusetts",,,,
Summer,1990,Canadian Wildlife Federation,Volunteer,"Ottawa, Canada",,,,
Fall,1998,Camphill Village Minnesota,Intern,"Sauk Centre, Minnesota",45.737465,-94.9525216,,
Summer,1998,Camp Waziyatah,Activity Counselor,"South Waterford, Maine",,,,
Summer,1981,Camp Runoia,Intern,"Belgrade Lakes, Maine",44.526454,-69.8869966,,
Summer,2022,Camp Ramapo,Day Camp Group Leader,"Rhinebeck, New York",41.9267604,-73.912763,,
Summer,2022,Camp Ondessonk,Adventure Instructor,"Ozark, Illinois",,,,
Summer,1980,Camp Northway,Nature Program Director,"Ontario, Canada",,,,
Summer,2004,Camp Lincoln/Camp Lake Hubert,Counselor,"Lake Hubert, Minnesota",46.5021897,-94.2574974,,
Summer,2006,Camp Joslin,Intern,"Charlton, Massachusetts",,,,
Spring,1997,Camp Farnsworth,Intern,"Thetford Hill, Vermont",43.8187315,-72.2293324,,
Summer,1995,Camp Chewonki,Adminstrative Assistant,"Wiscasset, Maine",44.0025451,-69.6647403,,
"Summer, Fall",2014,Camp Beech Cliff_,Intern,"Mount Desert, Maine",44.3486501,-68.3435443,,
"Summer, Fall",2014,Camp Beech Cliff,Intern,"Mount Desert, Maine",44.3486501,-68.3435443,,
Summer,2013,Camp Beech Cliff,Specialty Camp Senior Counselor,Mt. Desert Maine,,,,
Spring,2012,Calypso Farm and Ecology Center,Farm and Education Apprentice,"Ester, Alaska",64.8586885,-148.0900592,,
Fall,1981,"Call For Action, Inc.",Intern,"New York, New York",40.741895,-73.989308,,
Summer,1994,Cabin Creek Farm,Farm Hand,"Cranberry Island, Maine",44.2470232,-68.2689399,,coordinates for Great Cranberry Island which has a street name similar to farm name
Fall,1982,C&M Enterprises,Intern,"Winnisquam, New Hampshire",43.5014657,-71.5120186,Included COA News magazine winter 1998/1999,
Winter-Spring,1980,C.R.O.W. ,Veterinary Assistant,"Sanibel Island, Florida",26.440359,-82.1137049,,
Fall,1979,Butler Hospital,Intern,"Providence, Rhode Island",,,,
"Spring, Summer",1982,Burt Hill Kosar Rittelmann Associates,Intern,"Washington, D.C.",,,,
Summer,2009,Burning Tree Resturant,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Prior Fulfillment,2008,Burlington Community Boathouse's restaurant,Manager,"Burlington, Vermont",44.47614974,-73.21703916,,
Summer,1983,Bureau of Land Management,Intern,"Fairbanks, Alaska",,,,
Summer ,2020,Buildings And Grounds,Intern,"Bar Harbor, Maine",,,,
Fall,1978,Building a Forge Barn,Blacksmith Intern,"Fayette, Maine",44.409259,-70.033722,Hand written not that was not able to scan not included,
Summer,2003,Brooklyn Reptyle Productions,Intern,"Van Nuys, California",34.1866193,-118.4486675,,
Winter,2014,Broad Street Music Group,Lead Web Developer,"Philadelphia, Pennsylvania",,,,
Summer,2010,Brigham and Woman's Hospital,Intern,"Boston, Massachusetts",42.3554334,-71.060511,Double,
Summer,1993,Brier Island Ocean Study,Intern,"Brier Island, Nova Scotia",44.2590108,-66.3649705,Passed away in 2004. Not included: 1992 BIOSNEWS Newsletter + Sea Cruise Pamphlets,
NA,NA,Brian Catell,Piano Technician Assistant,"Bangor, Maine",,,,
Summer,2019,Bread and Puppet,Intern,"Glover, Vermont",,,,
Summer,2011,Bradley Inn,Assistant Innkeeper,"New Harbor, Maine",,,,
Summer,2012,Boy Scouts of America,Education Design and Researcher,"Derby, Connecticut",41.3223611,-73.0890324,,
Winter,2009,Boulder Independent Business Alliance (BIBA),Intern,"Boulder, Colorado",40.0149856,-105.270545,,
Spring,1978,Boston Redevelopment Authority,Intern,"Boston, MA",,,,
Spring,1989,Boston Preservation Alliance,Intern,"Boston, Massachusetts",42.3554334,-71.060511,,
Summer,2013,Boothbay Animal Hospital,Intern,"Boothbay, Maine",,,,
Winter,2001,Boone NC Wastewater Treatment Plant,Labratory/ pretreatment technician,"Boone, NC",,,,
Previous Work Experience,1989-1996,Books N Things,Manager,"Bethel, Maine",,,,
Summer,1994,Boise State University,Research Assistant,"Boise, Idaho",,,,
Summer,1993,Boise State Univeristy (BSU),Research Assistant,"Boise, Idaho",43.6166163,-116.200886,,
Spring,1989,Bob Knight,Draftman,"Blue Hill, Maine",44.414164,-68.58696,,
Summer,2012,Boats U.S.Foundation Summer Internship,Intern,"Annapolis, Maryland",38.9786401,-76.492786,,
Winter,2010,Blue School,Intern,"Ellsworth, Maine",44.5414036,-68.4243047,,
Summer,2004,Blue Ocean Society For Marine Conservation,Intern,"Greenland, NH",,,,
Summer,2020,Blue Hill Historical Society,Research and Archives Intern,"Blue Hill, Maine ",,,,
Spring,1976,Blue Hill Farm,Intern,"Blue Hill, Maine",,,,
Spring,2005,Blue Hill Family Chiropractic ,Intern,"Blue Hill, Maine ",,,,
Spring,2001,Blessingway Family Service (BWFS),Intern,"Cushing, Wisconsin",45.5705132,-92.6510407,,
Summer ,2015,Blaze Restaurant,Server/Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2017,Blaire Marine Research Station,Intern,"Mount Desert Island, Maine",44.3330869,-68.2407865,,
Winter,1991,BlackBoards Rest,Customer Service,"Bar Harbor, Maine",,,,
Previous Work Experience,2001-2002,Black Sheep Cafe and Deli,Deli Clerk,"Amherst, Massachusetts",,,,
Spring,1981,Black Fly Sheep Farm,Intern,"Kezar Falls, Maine",43.807853,-70.8889529,,
Winter,2016,Black Dinah Chocolatiers,Intern,"Portland, Maine",43.6573515,-70.2584115,"exact copy in another file ""Sam Chappel""",
Summer,2006,Biology Dept UMaine Orono,Intern,"Orono, Maine",44.883607,-68.672791,,
Winter,1991,Bimini Biological Field Station,Field Assistant,"Bimini, Bahamas",,,,
Summer,1987,Bill Carpenters property,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,"""No credit awarded for internship JBK 11/87""",
Winter,2016,Bike Works,Intern,"Seattle, Washington",47.589298,-122.384975,,
NA,NA,Bike Trip/Possible Prior Fulfillment,,NA,NA,NA,,
Fall,2011,Big Apple Circus,Public Relations Intern,"Brooklin, New York ",,,,
Summer,2017,Beyond Toxics,Environmental Justice Intern,"Eugene, Oregon",,,,
Summer,2010,Bernstein International ,Intern,"Geneva, Switzerland",46.2017559,6.1466014,,
Spring,1998,Bernie Sanders Campaign ,Congressional Intern,"Washington, D.C.",38.8950368,-77.0365427,,
Summer,1992,Bering Sea Fisherman's Association,Research Assistant,"Anchorage, Alaska",61.2163129,-149.894852,,
N/A,1988,Benhaven Inc,Intern,"North Haven, Connecticut",41.3909305,-72.859545,,
Winter,2014,Beehive Design Collective,Distribution and Printing Intern,"Machias, Maine",44.715514,-67.461548,,
Summer,2006,Beech Hill Farm,Farm Assistant,"Somesville, Maine",44.3622582,-68.3341769,,
Summer,"2015, 2016",Beech Hill Farm,Intern,"Somesville, Maine",44.3622582,-68.3341769,,
Summer,2017,Beech Hill Farm,Intern,"Southwest Harbor, Maine",44.2798024,-68.3250168,,
Summer ,2006,Beech Hill Farm,Intern,"Somesville, Maine",44.3622582,-68.3341769,,
Summer,2000,Beech Hill Farm,Intern,"Somesville, Maine",44.3622582,-68.3341769,,
Summer,2003,Beech Hill Farm,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2009,Beech Hill Farm,Farm Stand Assistant,"Mount Desert, Maine",,,,
Summer,2018,Beech Hill Farm,Crew Member,"Bar Harbor, Maine",,,,
Summer,1975,Bedford Institute of Oceanography,Intern,"Newfoundland, Canada",,,,
Summer,1992,Beaver Meadow Audubon Center,Intern,"North Java, New York",42.6836721,-78.3377941,,
Summer,2018,Bartlett Experimental Forest & University of New hampshire Department of natural Resources and the Environment,Research Assistant,"Bartlett, New Hampshire",44.0780145,-71.2820437,,
Winter,1993,Barrier Island Environmental Program,Intern,"Seabrook Island, South Carolina",32.5882385,-80.1634296,,
Summer,1977,Barnstable High School Science Department,Teacher Assistant,"Wellfleet, Massachusetts",,,Not Scanned: Massachusetts Audubon,
Year,1994-95,Bar Harbor YMCA,Childcare Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2019,Bar Harbor Whale Watching Company,Deckhand,"Bar Harbor, Maine",,,,
Summer,2015,Bar Harbor Whale Watch,Research Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2005,Bar harbor Whale Museum,Information Technology Coordinator,"Bar Harbor, Maine",,,,
Summer,2008,Bar harbor Whale Museum,Intern,"Bar Harbor, Maine",,,,
Winter,1985,Bar Harbor Times,Advertising Representative,"Bar Harbor, Maine",44.3876378,-68.2043361,In Navy blue Bar Harbor Times folder. does not include newspaper(s) she's worked on in scan,
Winter,1982,Bar Harbor Times,Editorial Assistant,"Bar Harbor, Maine",44.3876378,-68.2043361,So many old newpaper clippings,
Fall,1981,Bar Harbor Times,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1997,Bar Harbor Times,Intern,"Bar Harbor, Maine",,,,
Spring,2005,Bar Harbor Tattoo,Intern,"Bar Harbor, Maine",,,,
Spring,2015,Bar Harbor Jazz,Theatre Intern,"Bar Harbor, Maine",,,,
Summer,2019,Bar Harbor Food Pantry,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,2019,Bar Harbor Fire Department,Fire/public safety intern,"Bar Harbor, Maine",,,,
Fall,2010,Bar Harbor Community Farm,Assistant Manager,"Bar Harbor, Maine",,,,
Summer,2022,Bar Harbor Bicycle Shop,Bike Mechanic,"Bar Harbor, Maine",,,,
Summer,1979,Bancroft Camp,Intern,"Owls Head, Maine",,,,
Fall,1993,Balombini & Quinn,Assistant Jewelrymaker,"Surry, Maine",,,,
Summer,2008,BAGLY,Intern,"Boston, Massachusetts",42.3554334,-71.060511,,
Spring,2011,Ayurvedic Health Center,Intern,"Bellingham, Washington",,,,
Summer,2012,Ayudame que yo Tambien soy Mexicana A.C.,Assistant to the Director of Social Synergy,"Baja California, Mexico",30.0338923,-115.1425107,,
Summer,2008,Awassa Childrens Project (ACP),Intern,"Awassa, Ethiopia",7.0481029,38.47861,,writing is different on website: coordinates for Hawassa
Winter,2004,Avena Botanicals,Intern,"Rockport, Maine",,,,
Spring,2014,Autonomous University of Yucatan,Intern,"Merida, Yucatan",,,,
Spring,2022,Autonomous University of Yucatan,Research Assistant,"Merida, Yucatan, Mexico",,,,
Summer,1982,Audubon Animal Care Center,Intern,"Lincoln, Massachusetts",42.4259283,-71.3039469,,
Summer,2018,Atlantic Countryside Justice Facility,Intern,"Mays Landing, New Jersey",39.452786,-74.724695,,
Summer,1994,Atlantic Cetacean Research Center,Intern,"Gloucester, Massachusetts",,,Not scanned: ACRC News Winter 1994 and Summer 1994,
Fall,1979,Atlantic Center the the Enviornment,Intern,"Ipswich, Massachusetts ",,,,
Winter,2000,Atlantic Art Glass,Apprentice,"Hulls Cove, Maine",44.4192455,-68.2505706,,
Winter,2010,Atlantic Art Glass,Glassblower,"Ellsworth, Maine",,,,
Winter,2015,Atlantic Art Glass,Intern,"Ellsworth, Maine",,,,
Winter,2011,Atlantic Art and Glass,Glass Blower's Apprentice,"Ellsworth, Maine",44.5414036,-68.4243047,,
Summer,1993,Atlanta Summer Scholars Program,Intern,"Lenoir, North Carolina",,,,
Summer,2004,ATD Fourth World,Intern,"New York, New York",,,,
Summer,2004,Asticou Azalea Garden,Gardener,"Northeast Harbor, Maine",,,,
Fall,1998,Association of Vermont Conservation,Intern,"Adamant, Vermont",,,,
Summer,1990,Asociacion de Nuevos Alquimistas,Intern,"Purto Limon, Costa Rica",,,,
Summer,2015,Ashoka UK,Changemaker Schools Intern,"London, UK",,,,
Summer,2019,Ashoka Japan,Intern,"Tokyo, Japan",35.6821936,139.762221,,
Summer,2015,ArtProv Gallery,Gallery Assistant,"Providence, Rhode Island",41.8239891,-71.4128343,,
Summer,2018,Artemis Gallery,Intern,"Northeast Harbor, Maine",44.2942468,-68.2897381,,
,1979,Artel Graphics Arts,Intern,"San Francisco, California",37.7792588,-122.4193286,,
Winter,2012,Art Institute of Chicago,Intern,"Chicago, Illinois",41.8755616,-87.6244212,,
Summer,2007,Arrowwood Environmental,Intern,"Huntington, Vermont",44.3251942,-72.9868075,,
Spring,2018,Aroostook Mental Health Service,Mobile Emergency Services Specialist,"Ellsworth, ME",,,,
Summer,2011,Ark Haven,Intern,"Ellsworth, Maine",44.5414036,-68.4243047,,
Summer,2015,Arctic Ecology Lab,Intern,"Middleton Island, Alaska",59.4350818,-146.3276688,,
Fall,1980,Arcosanti Arcology Program,Architecture Intern,"Mayer, Arizona",34.414534,-112.163493,,
Summer,1998,Architect Roc Caivano,Intern,"Bar Harbor, Maine",44.3876378,-68.2043361,,
Summer,1988,Arapaho National Wildlife Refuge,Intern,"Walden, Colorado",40.7316433,-106.283637,"PUT ASIDE Internship Report itself not scanned, photos taped to paper.",
Summer,1991,Applied Anthropology,Intern,"Fairfax, Virginia",,,,
Summer,2004,Appleton Creamery,Intern,"Appleton, Maine",44.289452,-69.250946,,
Spring,1998,Appalacia Service Project,Intern,"Jonesville, Virginia",36.6889777,-83.1110047,,
Summer,"1994, 1995, 1996",Appalachian Mountain Club,Intern,"White Mountains, New Hampshire",44.0457502,-71.6705978,,
Summer,1988,Appalachian Mauntain Club Research Department,Research Assistant,"Gorham, New Hampshire",44.3878621,-71.1729953,,
Summer,1999,Apostile Islands National Lakeshore,Intern,"Bayfield, Wisconsin",,,,
Summer,2008,Anthology Recordings,Company Assistant,"New York, New York ",,,,
Winter,1995,Ann Arbor Hands-On Museum,Intern,"Ann Arbor, Michigan",42.2813722,-83.7484616,,
Spring,1987,Animal Medical Hospital,Intern,"Hyde Park, Vermont ",,,,
Winter,2001,Animal Liberation,Intern,"Collingwood, Australia",-37.802104,144.9881387,,"2x Collingwood in Australia, ""Animal Liberation"" is an organization in the state of Victoria"
Fall,1996,Andy Warhol Museum,Intern,"Pittsburgh, Pennsylvania",,,,
Summer,2012,Anacostia Watershed Society,Intern,"Bladensburg, Maryland",38.9392997,-76.9337983,,
Summer,2014,Amphibian Rescue and Conservation Project ,Volunteer,"Gamboa, Panama",9.1180893,-79.7003028,,
